episode,reward
0,23
1,21
2,13
3,20
4,14
5,45
6,18
7,19
8,11
9,36
10,13
11,19
12,13
13,41
14,38
15,30
16,10
17,12
18,9
19,40
20,17
21,22
22,10
23,12
24,15
25,22
26,26
27,43
28,19
29,14
30,11
31,25
32,31
33,15
34,26
35,25
36,20
37,54
38,44
39,32
40,10
41,9
42,13
43,16
44,34
45,12
46,55
47,27
48,25
49,22
50,18
51,14
52,30
53,21
54,11
55,14
56,11
57,16
58,53
59,84
60,56
61,20
62,21
63,24
64,23
65,20
66,14
67,16
68,17
69,19
70,18
71,18
72,37
73,19
74,12
75,18
76,15
77,25
78,37
79,34
80,27
81,14
82,23
83,19
84,20
85,31
86,14
87,21
88,30
89,20
90,15
91,24
92,28
93,25
94,38
95,27
96,20
97,19
98,20
99,21
100,12
101,15
102,18
103,11
104,13
105,12
106,17
107,28
108,28
109,52
110,22
111,29
112,31
113,10
114,12
115,36
116,17
117,14
118,25
119,32
120,29
121,51
122,19
123,23
124,11
125,17
126,29
127,36
128,51
129,10
130,21
131,12
132,38
133,37
134,31
135,25
136,65
137,19
138,15
139,14
140,24
141,14
142,14
143,11
144,28
145,9
146,32
147,12
148,21
149,14
150,14
151,26
152,19
153,29
154,81
155,31
156,41
157,18
158,51
159,23
160,27
161,32
162,29
163,20
164,14
165,15
166,30
167,28
168,36
169,22
170,20
171,10
172,49
173,23
174,21
175,28
176,15
177,12
178,14
179,24
180,19
181,16
182,33
183,20
184,34
185,12
186,28
187,15
188,49
189,35
190,30
191,13
192,40
193,34
194,13
195,17
196,13
197,35
198,24
199,25
200,56
201,14
202,14
203,18
204,15
205,20
206,12
207,18
208,32
209,90
210,19
211,14
212,22
213,19
214,25
215,25
216,29
217,41
218,12
219,18
220,22
221,12
222,35
223,23
224,20
225,60
226,12
227,19
228,43
229,44
230,18
231,16
232,19
233,23
234,30
235,22
236,22
237,39
238,10
239,18
240,37
241,19
242,44
243,11
244,13
245,22
246,28
247,23
248,15
249,30
250,55
251,35
252,45
253,22
254,36
255,29
256,36
257,26
258,20
259,13
260,33
261,22
262,13
263,17
264,31
265,57
266,40
267,12
268,40
269,44
270,10
271,55
272,26
273,23
274,12
275,14
276,24
277,13
278,80
279,15
280,24
281,23
282,35
283,12
284,67
285,42
286,24
287,19
288,19
289,19
290,32
291,19
292,33
293,37
294,30
295,13
296,66
297,20
298,20
299,25
300,27
301,31
302,14
303,36
304,20
305,12
306,14
307,18
308,11
309,22
310,25
311,30
312,20
313,33
314,18
315,13
316,14
317,26
318,25
319,18
320,22
321,27
322,21
323,17
324,43
325,17
326,30
327,47
328,37
329,18
330,44
331,37
332,32
333,26
334,26
335,22
336,19
337,27
338,24
339,43
340,85
341,35
342,45
343,43
344,36
345,30
346,38
347,70
348,18
349,20
350,30
351,25
352,42
353,64
354,12
355,35
356,30
357,12
358,18
359,12
360,17
361,22
362,23
363,44
364,19
365,24
366,20
367,14
368,35
369,25
370,74
371,21
372,67
373,18
374,34
375,50
376,61
377,20
378,34
379,42
380,10
381,27
382,15
383,11
384,27
385,29
386,37
387,38
388,51
389,16
390,42
391,23
392,20
393,40
394,43
395,9
396,40
397,35
398,35
399,35
400,34
401,27
402,49
403,14
404,12
405,54
406,36
407,26
408,21
409,15
410,18
411,13
412,14
413,41
414,70
415,32
416,29
417,56
418,24
