episode,reward
1,16
2,23
3,34
4,17
5,31
6,28
7,37
8,13
9,22
10,28
11,15
12,13
13,31
14,22
15,14
16,48
17,40
18,21
19,40
20,29
21,16
22,23
23,45
24,14
25,28
26,36
27,36
28,49
29,68
30,33
31,20
32,14
33,32
34,24
35,39
36,13
37,25
38,15
39,24
40,28
41,16
42,41
43,16
44,22
45,41
46,37
47,18
48,22
49,36
50,12
51,31
52,14
53,14
54,23
55,18
56,18
57,80
58,21
59,26
60,20
61,25
62,46
63,24
64,28
65,15
66,54
67,21
68,41
69,30
70,31
71,16
72,18
73,25
74,15
75,28
76,29
77,37
78,17
79,30
80,42
81,16
82,23
83,18
84,46
85,26
86,17
87,22
88,28
89,40
90,55
91,56
92,26
93,66
94,30
95,23
96,47
97,49
98,35
99,41
100,42
101,21
102,28
103,57
104,42
105,61
106,73
107,43
108,22
109,33
110,37
111,39
112,35
113,16
114,52
115,32
116,45
117,39
118,57
119,23
120,30
121,30
122,35
123,45
124,14
125,40
126,37
127,39
128,25
129,36
130,64
131,45
132,55
133,81
134,43
135,43
136,43
137,37
138,38
139,37
140,55
141,39
142,43
143,61
144,45
145,78
146,46
147,47
148,42
149,27
150,42
151,30
152,41
153,87
154,39
155,86
156,81
157,38
158,48
159,44
160,60
161,34
162,47
163,76
164,99
165,56
166,63
167,37
168,25
169,47
170,50
171,32
172,49
173,48
174,42
175,57
176,33
177,57
178,68
179,35
180,111
181,44
182,34
183,32
184,57
185,62
186,66
187,46
188,38
189,33
190,47
191,46
192,42
193,35
194,32
195,36
196,46
197,36
198,49
199,40
200,118
201,60
202,56
203,65
204,63
205,67
206,61
207,34
208,44
209,37
210,59
211,76
212,58
213,33
214,49
215,119
216,46
217,50
218,42
219,61
220,20
221,88
222,24
223,42
224,32
225,38
226,66
227,38
228,38
229,38
230,38
231,67
232,61
233,29
234,44
235,68
236,47
237,62
238,80
239,44
240,63
241,35
242,60
243,51
244,54
245,48
246,71
247,70
248,44
249,32
250,56
251,49
252,59
253,52
254,81
255,64
256,50
257,49
258,50
259,69
260,41
261,62
262,53
263,46
264,66
265,61
266,64
267,45
268,43
269,50
270,41
271,54
272,49
273,53
274,54
275,49
276,42
277,38
278,44
279,51
280,52
281,52
282,67
283,65
284,50
285,56
286,48
287,85
288,67
289,45
290,47
291,63
292,32
293,35
294,39
295,43
296,84
297,45
298,63
299,64
300,31
301,45
302,41
303,74
304,32
305,49
306,51
307,77
308,62
309,57
310,56
311,52
312,72
313,49
314,70
315,53
316,43
317,77
318,53
319,51
320,22
321,40
322,49
323,55
324,48
325,108
326,36
327,71
328,55
329,40
330,88
331,43
332,49
333,90
334,56
335,42
336,59
337,67
338,50
339,48
340,44
341,46
342,44
343,69
344,52
345,72
346,47
347,58
348,45
349,35
350,72
351,67
352,39
353,82
354,62
355,87
356,40
357,70
358,82
359,65
360,46
361,56
362,44
363,53
364,37
365,19
366,64
367,48
368,64
369,41
370,84
371,54
372,78
373,62
374,50
375,71
376,78
377,37
378,44
379,37
380,57
381,42
382,29
383,52
384,84
385,65
386,76
387,62
388,35
389,60
390,42
391,53
392,45
393,74
394,88
395,37
396,69
397,59
398,145
399,74
400,61
401,63
402,43
403,32
404,86
405,40
406,68
407,51
408,44
409,66
410,62
411,112
412,52
413,48
414,69
415,75
416,78
417,56
418,73
419,94
420,73
421,49
422,82
423,52
424,65
425,64
426,54
427,43
428,70
429,57
430,66
431,49
432,62
433,45
434,55
435,49
436,73
437,65
438,64
439,66
440,64
441,52
442,90
443,66
444,65
445,65
446,67
447,54
448,51
449,67
450,66
451,60
452,91
453,36
454,91
455,64
456,59
457,50
458,56
459,104
460,44
461,112
462,58
463,84
464,76
465,76
466,74
467,68
468,68
469,61
470,74
471,63
472,51
473,40
474,42
475,78
476,54
477,41
478,53
479,52
480,78
481,46
482,47
483,32
484,66
485,66
486,71
487,28
488,48
489,80
490,67
491,59
492,44
493,104
494,73
495,51
496,50
497,41
498,52
499,49
500,37
501,44
502,47
503,97
504,51
505,90
506,59
507,55
508,44
509,53
510,27
511,90
512,51
513,73
514,65
515,116
516,44
517,54
518,52
519,39
520,65
521,66
522,51
523,56
524,52
525,88
526,55
527,93
528,70
529,80
530,56
531,60
532,63
533,66
534,42
535,58
536,80
537,60
538,41
539,53
540,50
541,46
542,58
543,71
544,38
545,78
546,63
547,61
548,118
549,72
550,50
551,49
552,29
553,45
554,61
555,50
556,51
557,72
558,72
559,59
560,43
561,65
562,60
563,45
564,48
565,74
566,56
567,61
568,67
569,63
570,56
571,50
572,88
573,51
574,49
575,79
576,86
577,52
578,83
579,84
580,71
581,55
582,81
583,60
584,91
585,50
586,53
587,72
588,58
589,45
590,58
591,47
592,67
593,60
594,53
595,89
596,42
597,44
598,91
599,70
600,67
601,44
602,69
603,85
604,64
605,87
606,60
607,66
608,78
609,62
610,67
611,67
612,78
613,49
614,72
615,97
616,36
617,120
618,47
619,64
620,89
621,41
622,67
623,85
624,40
625,80
626,75
627,79
628,57
629,85
630,70
631,65
632,53
633,55
634,96
635,55
636,72
637,71
638,50
639,76
640,97
641,54
642,57
643,64
644,88
645,57
646,93
647,93
648,62
649,59
650,45
651,48
652,41
653,66
654,42
655,51
656,67
657,78
658,47
659,54
660,56
661,39
662,38
663,97
664,14
665,84
666,45
667,67
668,69
669,99
670,67
671,36
672,110
673,82
674,53
675,75
676,62
677,71
678,49
679,46
680,43
681,41
682,57
683,51
684,76
685,45
686,60
687,74
688,38
689,80
690,74
691,73
692,24
693,36
694,71
695,61
696,71
697,64
698,53
699,94
700,71
701,47
702,68
703,47
704,52
705,89
706,55
707,41
708,49
709,49
710,60
711,65
712,76
713,66
714,46
715,97
716,116
717,67
718,59
719,58
720,60
721,73
722,51
723,52
724,44
725,77
726,53
727,60
728,54
729,99
730,31
731,39
732,73
733,59
734,66
735,67
736,84
737,43
738,88
739,84
740,67
741,34
742,110
743,72
744,52
745,53
746,43
747,69
748,67
749,62
750,51
751,65
752,24
753,59
754,76
755,77
756,103
757,66
758,81
759,87
760,39
761,58
762,25
763,73
764,50
765,34
766,69
767,53
768,126
769,44
770,53
771,44
772,49
773,54
774,39
775,76
776,53
777,57
778,52
779,86
780,56
781,53
782,52
783,85
784,62
785,106
786,86
787,53
788,58
789,30
790,67
791,51
792,98
793,37
794,88
795,70
796,47
797,89
798,87
799,65
800,84
801,74
802,89
803,92
804,76
805,33
806,50
807,48
808,54
809,44
810,68
811,63
812,144
813,50
814,88
815,80
816,76
817,63
818,76
819,65
820,98
821,69
822,27
823,80
824,85
825,90
826,60
827,105
828,38
829,58
830,66
831,47
832,57
833,56
834,66
835,76
836,72
837,66
838,73
839,69
840,43
841,69
842,74
843,96
844,61
845,70
846,94
847,62
848,84
849,45
850,113
851,79
852,103
853,84
854,103
855,73
856,78
857,76
858,57
859,72
860,71
861,76
862,55
863,82
864,62
865,25
866,65
867,68
868,80
869,96
870,114
871,62
872,97
873,42
874,85
875,67
876,47
877,76
878,71
879,102
880,64
881,69
882,56
883,104
884,78
885,62
886,43
887,75
888,58
889,52
890,58
891,95
892,74
893,80
894,46
895,69
896,80
897,29
898,59
899,68
900,49
901,50
902,81
903,73
904,83
905,52
906,57
907,81
908,75
909,68
910,69
911,83
912,67
913,68
914,61
915,113
916,54
917,59
918,38
919,71
920,74
921,95
922,83
923,84
924,100
925,58
